1 to 9 or more"	% Children (Std I-II) who CAN READ LETTERS or more in ENGLISH	"% Children (Std III-V) who
CAN DO SUBTRACTION or more"	% Children (Std III-V) who CAN READ sentences in ENGLISH	"% Children (Std I-II) who
CAN READ letters, words or more"	"% Children (Std I-II) who CAN RECOGNIZE NUMBERS
1 to 9 or more"	% Children (Std I-II) who CAN READ LETTERS or more in ENGLISH	"% Children (Std III-V) who
CAN DO SUBTRACTION or more"	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more	% Children (Std 1-II) who CAN READ letters, words or more	% Children (Std I-II who CAN RECOGNIZE numbers (1-9) or more	% Children (Std III-V) who CAN READ Level 1 (Std 1) text or more	% Children (Std III-V) who CAN DO Subtraction or more
Osmanabad	99.6	96.4	91	86.9	95.3	61.5	69.6	22.8	91	92.3	93.9	69.1	97.4	63.9	96.4	35.9	94.5	95.8	91.5	74.4	93.6	90.7	67.9	41.9	83.8	85.5	77.8	43.9	80.9	78.7	75.8	26.9	75.9	81	64.7	38.2
Parbhani	87.3	75.1	73.2	63.4	91.2	49	75.5	16.9	93.3	91.4	79.4	60.7	82.4	22.8	63.1	6.4	91.7	89.4	80.4	71.5	91.8	89.5	82.1	61.3	58.5	59.2	57.1	23.4	56.3	64.2	63.8	26.8	69.9	77.4	70.5	36.3
Pune	84.7	63.6	81.3	70.3	90.6	45	76.7	15.5	95.5	94.4	89	66.2	93.8	32.8	74.2	15.6	92.9	91.8	93.1	80.7	94.8	97.1	87.5	77.2	89.8	92.5	89.2	63.5	87.6	92.7	84.3	54.4	84.8	88.8	78.8	49
Raigad	91.7	82.9	87.9	84	97.1	34.3	86.2	43.5	97.1	97.1	93.7	96.7	95.2	51.9	89.2	38.1	98.6	99.3	83	56.1	89.3	88	78.8	61.5	78.4	78.4	78.3	34.4	73.8	78.6	72.1	36	64.5	72.4	76.7	37
Ratnagiri	74.6	61	88.3	80.5	97.2	35.6	73.3	11.3	94.7	94.1	85.6	83.2	98	71.2	86.2	27.8	100	98.7	95.4	84.7	96.9	95.3	95.5	89.2					92.8	91.7	86.1	46.6	84.2	86.8	84.8	50
Sangli	91.5	80.3	84.4	78.7	95.8	41.9	69.8	10.3	99.4	96.6	87.2	66.1	94.6	53.5	76.1	10.1	94.6	94.6	90.7	74.8									87	89.9	84.2	52.1	85.3	88.6	81.6	48.3
Satara	99	95.2	90.8	89.4	97.8	38	83.2	13	99.1	98.1	95.2	85.5	95.7	56.4	86	28	97.2	95.5	90.5	77.6	95.7	96.3	80.5	59.4					83.3	90.7	80.3	48.3	87.2	84.9	86.7	59.3
Sindhudurg	95	89.1	91.2	83.8	98.9	58.8	85.6	31.7	97.8	97.8	98.8	88.2	98.9	54	89.8	32.3	98.5	97.8	90.6	79.9	94.5	91.1	90.8	75.8					85.2	88.8	88	57.6	94.8	94.8	93.9	61.6
Solapur	82.9	76.1	74	65.1	97.9	60.2	82.8	31.1	95.1	94.4	90.8	66.3	93.9	60.9	95.8	43.9	95.3	94	89.7	73.9	80.7	81.4	73.1	60.5					77.2	82.1	79.2	34.1	81.4	86.8	81	48
Thane	88.8	68	70.6	61.1	97.2	42.3	72.4	9.2	98.3	93.8	92.5	87.5	87.4	32.5	55.8	8.3	92.7	91.5	76.1	61.7	88.1	87.3	70	50.2	75	76.9	58.6	26.8	54.2	59.2	68	21.1	60.4	64.8	63.1	24.3
Wardha	90.8	59.5	78.9	69.3	92.7	56.3	67.2	12.5	89.6	91.2	69.8	41.2	92.8	66.7	66.7	8.7	95.3	94.5	79.7	52.9	83.8	81	72	43.1	79.1	82.4	70	29.9	82.1	83.9	68.7	31.1	73	74.8	76	31.8
Washim	77.8	49.1	85.4	63.8	94.8	58.9	76	19.3	83.3	85.9	77.6	42.8	100	98.8	99.6	60.4	97.7	97.7	94.8	96.3	81.8	81.8	60.2	28	75.2	72.7	62.5	23.1	58.1	63.6	54.9	18.6	56.5	65.9	57.6	22.7
Yavatmal	80.8	60.6	72.7	62.2	88.8	31.2	56.1	10.2	77.4	75.9	73.7	56.1	89.7	39.9	55.7	13	95.7	97.8	66.4	45.8	78.2	79.2	56.8	34.4	74.8	68	43.7	30.2	52.6	55.8	60.8	27.6	55	64.4	52.9	22.6
Total	87.6	73.6	79.6	70.4	93	40	67.4	15.2	91.1	90.1	85.3	66.4	93.3	52.1	73.7	18.5	94.8	93.9	85.5	67.6	91.2	91.6	77.9	56					68.5	74.4	70.3	31.7	68.8	75.1	65.9	32.8
Minimum	74	49.1	44	36.8	69.4	15	33	2.9	77.4	75.4	68.1	32.6	79.1	22.8	40.8	0.4	79	79	66.4	32.3	76.8	79.2	56.8	21.2	55.7	59.2	43.7	8.7	49.4	55.6	49.8	12	35.3	57	44.5	10.9
Maximum	100	97.8	91.2	90.9	99.5	69.4	86.2	43.5	99.4	98.7	98.8	97.2	100	98.8	99.6	60.4	100	99.5	95.6	96.3	98.7	98.2	95.5	89.2	89.8	92.5	89.2	64.6	92.8	94	89	60.2	94.8	94.8	93.9	61.6
Total- Min	13.6	24.5	35.6	33.6	23.6	25	34.4	12.3	13.7	14.7	17.2	33.8	14.2	29.3	32.9	18.1	15.8	14.9	19.1	35.3	14.4	12.4	21.1	34.8	-55.7	-59.2	-43.7	-8.7	19.1	18.8	20.5	19.7	33.5	18.1	21.4	21.9
Minimum	Nandurbar	Washim	Nandurbar	Nandurbar	Nandurbar	Nashik	Dhule	Chandrapur	Washim	Aurangabad	Gadchiroli	Amravati	Nashik	Parbhani	Nanded	Gadchiroli	Gadchiroli	Gadchiroli	Yavatmal	Gadchiroli	Gadchiroli	Yavatmal	Yavatmal	Gondia	Gadchiroli	Parbhani	Yavatmal	Dhule	Gadchiroli	Gadchiroli	Nandurbar	Nandurbar	Nandurbar	Nandurbar	Nandurbar	Nandurbar
Maximum	Beed	Nanded	Sindhudurg	Ahmednagar	Jalgaon	Buldana	Raigad	Raigad	Sangli	Jalgaon	Sindhudurg	Buldana	Aurangabad	Washim	Washim	Washim	Ratnagiri	Beed	Nandurbar	Washim	Kolhapur	Beed	Ratnagiri	Ratnagiri	Pune	Pune	Pune	Ahmednagar	Ratnagiri	Kolhapur	Kolhapur	Kolhapur	Sindhudurg	Sindhurdurg	Sindhudurg	Sindhudurg
