district_name,division,facility,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
NANDURBAR,Nashik,drinking_water,93.06,93.43,93.51,96.71,97.49,95.39,99.44,99.45,99.26
NASHIK,Nashik,drinking_water,93.62,90.74,89.12,88.28,90.45,100.91,100.21,100.31,100
OSMANABAD,Aurangabad,drinking_water,85.75,88.68,86.97,99.75,92.96,107.66,100.13,100.33,100
PARBHANI,Aurangabad,drinking_water,69.96,74.27,73.25,84.13,79.06,97.08,82.11,90.91,90.91
PUNE,Pune,drinking_water,95.17,90.96,93.45,96.12,94.27,80.08,100.68,101.29,99.87
RAIGARH (MAHARASHTRA),Konkan,drinking_water,87.96,90.08,89.33,95.12,95.31,99.32,101.45,101.05,99.89
RATNAGIRI,Konkan,drinking_water,90.27,89.45,91.94,96.85,95.11,103.72,100.49,100.71,99.81
SANGLI,Pune,drinking_water,87.37,92.72,92.53,95.07,91.98,99.25,100.39,100.77,99.89
SATARA,Pune,drinking_water,94.53,94.1,94.22,96.96,95.08,95.65,97.62,100.51,99.22
SINDHUDURG,Konkan,drinking_water,77.62,77.03,76.77,87.06,89.63,100.77,100.36,100.3,99.58
SOLAPUR,Pune,drinking_water,84.77,78.96,77.39,94.26,93.51,97.08,100.31,99.49,99.22
THANE,Konkan,drinking_water,88.81,93.14,92.77,96.69,96.36,101.42,99.51,101.07,100
WARDHA,Nagpur,drinking_water,84.54,88.64,89.18,97.56,96.79,112.92,100.95,100.66,100
WASHIM,Amravati,drinking_water,73.51,71.25,84.1,97.93,88.63,103.51,99,99,99
YAVATMAL,Amravati,drinking_water,75.59,91.89,88.77,95.04,87.89,91.45,98.76,99.36,99.16
AHMADNAGAR,Nashik,mdm,,,,,74.33,90.43,77.68,76.11,91.15
AKOLA,Amravati,mdm,,,,,63.41,77.18,65.73,65.03,83.34
AMRAVATI,Amravati,mdm,,,,,16.51,65.78,70.51,69.07,87.71
AURANGABAD (MAHARASHTRA),Aurangabad,mdm,,,,,74.77,70.15,64.7,63.38,78.51
BHANDARA,Nagpur,mdm,,,,,67.79,72.38,69.22,68.65,88.67
BID,Aurangabad,mdm,,,,,75.47,70.17,75.49,73.98,90.42
BULDANA,Amravati,mdm,,,,,72.23,75.94,74.02,71.8,86.45
CHANDRAPUR,Nagpur,mdm,,,,,14.74,74.17,74.71,73.96,84.99
DHULE,Nashik,mdm,,,,,64.08,75.36,63.68,59.86,85.17
GADCHIROLI,Nagpur,mdm,,,,,80.04,64.04,82.53,81.41,88.99
GONDIYA,Nagpur,mdm,,,,,72.69,82.98,75.54,74.37,86.76
HINGOLI,Aurangabad,mdm,,,,,79,76.02,76.23,77.87,88.26
JALGAON,Nashik,mdm,,,,,66.32,63.75,66.59,63.95,87.52
JALNA,Aurangabad,mdm,,,,,76.51,65.77,77.65,76.19,88.06
KOLHAPUR,Pune,mdm,,,,,65.54,78.94,71.42,69.18,87.65
LATUR,Aurangabad,mdm,,,,,59.26,71.05,61.18,58.21,88.41
MUMBAI,Konkan,mdm,,,,,0.22,62.22,50.04,50.58,65.41
MUMBAI (SUBURBAN),Konkan,mdm,,,,,28.26,0,0.25,0.08,46.78
NAGPUR,Nagpur,mdm,,,,,54.61,0.17,53.22,52.04,76.55
NANDED,Aurangabad,mdm,,,,,70.39,54.97,70.07,68.37,87.98
NANDURBAR,Nashik,mdm,,,,,77.2,70.69,72.12,71.32,83.43
NASHIK,Nashik,mdm,,,,,72.46,75.81,76.46,74.07,87.99
OSMANABAD,Aurangabad,mdm,,,,,69.22,76.8,75.3,73.33,91.79
PARBHANI,Aurangabad,mdm,,,,,66.69,75.48,68.21,65.99,82.24
PUNE,Pune,mdm,,,,,67.13,67.64,70.24,68.62,82.08
RAIGARH (MAHARASHTRA),Konkan,mdm,,,,,80.01,71.18,83.69,82.87,89.74
RATNAGIRI,Konkan,mdm,,,,,72.85,84.12,90.43,89.89,95.49
SANGLI,Pune,mdm,,,,,67.22,86.45,70.61,69.45,91.03
SATARA,Pune,mdm,,,,,75.71,70.14,79.91,79.18,91.39
SINDHUDURG,Konkan,mdm,,,,,84.33,80.51,88.13,87.95,95.95
SOLAPUR,Pune,mdm,,,,,71.13,87.89,72.44,69.38,90.33
THANE,Konkan,mdm,,,,,55.28,72.19,65.14,64.57,76.59
WARDHA,Nagpur,mdm,,,,,70.8,65.85,73.39,72.26,88.11
WASHIM,Amravati,mdm,,,,,69.39,73.32,70.46,68.28,86.18
YAVATMAL,Amravati,mdm,,,,,75.52,70.49,77.96,76.03,88.49
AHMADNAGAR,Nashik,kitchen_shed,,6.5,16.22,10.51,30.31,31.68,46.13,68.88,78.01
AKOLA,Amravati,kitchen_shed,,7.66,7.73,7.62,12.28,33.43,7.34,31.47,39.99
AMRAVATI,Amravati,kitchen_shed,,9.14,19.05,17.78,3.45,12.58,18.88,47.63,59.52
AURANGABAD (MAHARASHTRA),Aurangabad,kitchen_shed,,8.56,45.38,42.96,64.19,23.66,62.22,61.21,67.3
BHANDARA,Nagpur,kitchen_shed,,7.47,7.94,7.9,11.14,62.57,16.09,53.1,65.77
BID,Aurangabad,kitchen_shed,,32.66,49.31,47.91,62.74,11.83,63.01,0,0
BULDANA,Amravati,kitchen_shed,,6.07,15.43,15.24,21.38,63.9,19.61,49.42,55.54
CHANDRAPUR,Nagpur,kitchen_shed,,16.13,31.49,31.36,10.69,22.61,43.62,45.24,51.36
DHULE,Nashik,kitchen_shed,,7.28,32.87,30.75,40.79,44.96,49.46,46.07,56.3
GADCHIROLI,Nagpur,kitchen_shed,,9.37,55.14,54.53,72.16,42.38,75.58,76.8,81.06
GONDIYA,Nagpur,kitchen_shed,,8.46,6.56,8.2,16.9,77.56,19.53,41.11,48.79
HINGOLI,Aurangabad,kitchen_shed,,53.91,51.09,49.35,66.73,21.13,60.29,66.21,71.64
JALGAON,Nashik,kitchen_shed,,9.22,8.88,8.82,11.35,62.16,16.67,40.96,53.1
JALNA,Aurangabad,kitchen_shed,,44.17,60.49,53.98,64.25,12.1,68.3,71.32,78.2
KOLHAPUR,Pune,kitchen_shed,,3.52,12.32,12.26,14.14,68.41,29.13,50.24,53.15
LATUR,Aurangabad,kitchen_shed,,24.99,34.13,33.48,51.69,16.4,52.99,52.63,73.85
MUMBAI,Konkan,kitchen_shed,,0,0.15,0.07,0.15,55.2,0.35,0,0
MUMBAI (SUBURBAN),Konkan,kitchen_shed,,2.8,2.61,2.53,2.65,0,0.08,0,0.25
NAGPUR,Nagpur,kitchen_shed,,12.53,17.84,15.26,20.46,0.17,26.36,36.56,53.71
NANDED,Aurangabad,kitchen_shed,,9.98,31.87,29.79,52.82,20.41,53.33,56.76,66.71
NANDURBAR,Nashik,kitchen_shed,,11.09,39.77,39.59,63.69,55.02,57.65,0,0
NASHIK,Nashik,kitchen_shed,,10.51,32.7,32.22,39.1,64.82,46.64,51.37,55.17
OSMANABAD,Aurangabad,kitchen_shed,,20.76,23.44,22.98,49.12,43.27,51.45,55.1,67.75
PARBHANI,Aurangabad,kitchen_shed,,6.61,41.84,39.78,53.5,52.95,53.37,57.48,64.07
PUNE,Pune,kitchen_shed,,3.89,5.93,5.74,11.06,54.96,15.73,0,0
RAIGARH (MAHARASHTRA),Konkan,kitchen_shed,,2.38,5.93,5.88,8.15,11.24,14.06,23.76,24.47
RATNAGIRI,Konkan,kitchen_shed,,2.54,2.6,2.55,4.8,9.99,11.6,32.37,31.63
SANGLI,Pune,kitchen_shed,,8.29,25.41,23.93,29.92,5.23,31.51,53.4,65.85
SATARA,Pune,kitchen_shed,,9.16,9.15,8.97,15.04,30.82,18.82,63.09,68.76
SINDHUDURG,Konkan,kitchen_shed,,3.71,4.97,4.12,5.99,17.18,11.45,39.63,42.74
SOLAPUR,Pune,kitchen_shed,,6.83,30.63,30.33,40.51,5.67,56.4,0,0
THANE,Konkan,kitchen_shed,,4.94,30.23,29.19,33.4,41.87,33.98,0,0
WARDHA,Nagpur,kitchen_shed,,12.79,11.86,11.78,15.67,38.77,8.55,45.55,54.1
WASHIM,Amravati,kitchen_shed,,7.19,29.78,29.2,43.37,16.59,42.01,41.88,48.63
YAVATMAL,Amravati,kitchen_shed,,15.72,23.87,23.34,31.18,43.59,36.95,57.24,64.58
AHMADNAGAR,Nashik,,,,,,,,,,
AKOLA,Amravati,,,,,,,,,,
AMRAVATI,Amravati,,,,,,,,,,
AURANGABAD (MAHARASHTRA),Aurangabad,,,,,,,,,,
BHANDARA,Nagpur,,,,,,,,,,
BID,Aurangabad,,,,,,,,,,
BULDANA,Amravati,,,,,,,,,,
CHANDRAPUR,Nagpur,,,,,,,,,,
DHULE,Nashik,,,,,,,,,,
GADCHIROLI,Nagpur,,,,,,,,,,
GONDIYA,Nagpur,,,,,,,,,,
HINGOLI,Aurangabad,,,,,,,,,,
JALGAON,Nashik,,,,,,,,,,
JALNA,Aurangabad,,,,,,,,,,
KOLHAPUR,Pune,,,,,,,,,,
LATUR,Aurangabad,,,,,,,,,,
MUMBAI,Konkan,,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,,,,,,,,,,
NAGPUR,Nagpur,,,,,,,,,,
NANDED,Aurangabad,,,,,,,,,,
NANDURBAR,Nashik,,,,,,,,,,
NASHIK,Nashik,,,,,,,,,,
OSMANABAD,Aurangabad,,,,,,,,,,
PARBHANI,Aurangabad,,,,,,,,,,
PUNE,Pune,,,,,,,,,,
RAIGARH (MAHARASHTRA),Konkan,,,,,,,,,,
RATNAGIRI,Konkan,,,,,,,,,,
SANGLI,Pune,,,,,,,,,,
SATARA,Pune,,,,,,,,,,
SINDHUDURG,Konkan,,,,,,,,,,
SOLAPUR,Pune,,,,,,,,,,
THANE,Konkan,,,,,,,,,,
WARDHA,Nagpur,,,,,,,,,,
WASHIM,Amravati,,,,,,,,,,
YAVATMAL,Amravati,,,,,,,,,,
