district_name,division,performance,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
PUNE,Pune,1-2_numbers,63.6,90.6,94.4,93.8,91.8,97.1,92.5,92.7,88.8
RAIGARH (MAHARASHTRA),Konkan,1-2_numbers,82.9,97.1,97.1,95.2,99.3,88,78.4,78.6,72.4
RATNAGIRI,Konkan,1-2_numbers,61,97.2,94.1,98,98.7,95.3,,91.7,86.8
SANGLI,Pune,1-2_numbers,80.3,95.8,96.6,94.6,94.6,,,89.9,88.6
SATARA,Pune,1-2_numbers,95.2,97.8,98.1,95.7,95.5,96.3,,90.7,84.9
SINDHUDURG,Konkan,1-2_numbers,89.1,98.9,97.8,98.9,97.8,91.1,,88.8,94.8
SOLAPUR,Pune,1-2_numbers,76.1,97.9,94.4,93.9,94,81.4,,82.1,86.8
THANE,Konkan,1-2_numbers,68,97.2,93.8,87.4,91.5,87.3,76.9,59.2,64.8
WARDHA,Nagpur,1-2_numbers,59.5,92.7,91.2,92.8,94.5,81,82.4,83.9,74.8
WASHIM,Amravati,1-2_numbers,49.1,94.8,85.9,100,97.7,81.8,72.7,63.6,65.9
YAVATMAL,Amravati,1-2_numbers,60.6,88.8,75.9,89.7,97.8,79.2,68,55.8,64.4
AHMADNAGAR,Nashik,3-5_read,83.7,95.7,92.4,94.7,,91.2,86.9,71.7,70.7
AKOLA,Amravati,3-5_read,71.2,87.9,71,97,,67.8,47.3,52.9,57.7
AMRAVATI,Amravati,3-5_read,67.7,76,69.2,93.5,,70,64.6,65,45.6
AURANGABAD (MAHARASHTRA),Aurangabad,3-5_read,76.2,68.5,77.4,100,,81,51.3,63.6,60.2
BHANDARA,Nagpur,3-5_read,81.6,92.2,94.3,86.4,,81.3,72.7,70.6,71.1
BID,Aurangabad,3-5_read,83.4,92.5,91.7,92.2,,92.2,77.8,76.4,59
BULDANA,Amravati,3-5_read,83.2,85.5,98.3,73.3,,74.9,69.8,62.7,62.4
CHANDRAPUR,Nagpur,3-5_read,73.3,73.2,72.8,82.1,,80.2,61.9,79.3,64.9
DHULE,Nashik,3-5_read,60.3,84.3,70.7,98.4,,79.1,57.4,63.9,55.9
GADCHIROLI,Nagpur,3-5_read,76,76.6,68.1,78.8,,62.6,60.4,58.1,51.4
GONDIYA,Nagpur,3-5_read,78.4,82.3,91.3,88.9,,67.2,68.8,71,62.5
HINGOLI,Aurangabad,3-5_read,72.7,83.3,84.8,67.4,,,68.9,72,69.1
JALGAON,Nashik,3-5_read,86.6,91.4,94.7,69.4,,63.8,61.9,55.7,50.6
JALNA,Aurangabad,3-5_read,82.9,83.9,96,79.1,,63,57.8,56.3,60.1
KOLHAPUR,Pune,3-5_read,81.2,83,82.6,81.9,,86.9,,89,89.7
LATUR,Aurangabad,3-5_read,76.9,82.8,78.5,77.8,,77.9,77,72.4,62.4
MUMBAI,Konkan,3-5_read,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,3-5_read,,,,,,,,,
NAGPUR,Nagpur,3-5_read,70.7,83.2,79.9,96.7,,74.2,79.8,74.9,81.8
NANDED,Aurangabad,3-5_read,88.9,81.4,78.2,78.5,,67.1,60.4,63.3,56.5
NANDURBAR,Nashik,3-5_read,44,71.6,70.4,90,,83.1,54,49.8,44.5
NASHIK,Nashik,3-5_read,76.2,76,79.7,79.3,,89.3,72.3,75.2,54.1
OSMANABAD,Aurangabad,3-5_read,91,89.6,93.9,98.3,,67.9,77.8,75.8,64.7
PARBHANI,Aurangabad,3-5_read,73.2,86.5,79.4,72.9,,82.1,57.1,63.8,70.5
PUNE,Pune,3-5_read,81.3,84.5,89,85.2,,87.5,89.2,84.3,78.8
RAIGARH (MAHARASHTRA),Konkan,3-5_read,87.9,93.5,93.7,95.2,,78.8,78.3,72.1,76.7
RATNAGIRI,Konkan,3-5_read,88.3,86.4,85.6,92.6,,95.5,,86.1,84.8
SANGLI,Pune,3-5_read,84.4,85.5,87.2,89.9,,,,84.2,81.6
SATARA,Pune,3-5_read,90.8,89.4,95.2,95.8,,80.5,,80.3,86.7
SINDHUDURG,Konkan,3-5_read,91.2,95.9,98.8,96.5,,90.8,,88,93.9
SOLAPUR,Pune,3-5_read,74,92.4,90.8,98.1,,73.1,,79.2,81
THANE,Konkan,3-5_read,70.6,89.3,92.5,78.9,,70,58.6,68,63.1
WARDHA,Nagpur,3-5_read,78.9,88.4,69.8,83,,72,70,68.7,76
WASHIM,Amravati,3-5_read,85.4,81.6,77.6,99.6,,60.2,62.5,54.9,57.6
YAVATMAL,Amravati,3-5_read,72.7,77.6,73.7,79.1,,56.8,43.7,60.8,52.9
AHMADNAGAR,Nashik,3-5_subtract,90.9,76.2,82.2,92.5,85.1,71.3,64.6,39.2,45.2
AKOLA,Amravati,3-5_subtract,50.8,73.8,46.2,90.9,58.3,32.7,15.3,20.2,23.8
AMRAVATI,Amravati,3-5_subtract,48.4,52.4,32.6,64.8,54.4,40.8,29.9,28.1,14.4
AURANGABAD (MAHARASHTRA),Aurangabad,3-5_subtract,58,38.9,48.5,85.1,58.4,69.1,16.3,21.8,26.6
BHANDARA,Nagpur,3-5_subtract,77.3,71.7,73.6,66.9,47.7,54.7,26.1,24.2,26.4
BID,Aurangabad,3-5_subtract,73.1,74.3,84.4,92.9,89.1,85.8,51.6,18.7,24
BULDANA,Amravati,3-5_subtract,72.9,84.7,97.2,58.3,61.5,59,32,31.5,25.4
CHANDRAPUR,Nagpur,3-5_subtract,68.3,43.3,49.8,70.9,39.8,59.8,38.6,37.6,31
DHULE,Nashik,3-5_subtract,43.3,33,37.1,80.6,61.4,36,8.7,17.1,18.9
GADCHIROLI,Nagpur,3-5_subtract,69.2,71.4,39.8,55.8,32.3,38.8,26.6,19,18.1
GONDIYA,Nagpur,3-5_subtract,52.5,63.3,54.4,58,44.2,21.2,24.4,28.5,23.2
HINGOLI,Aurangabad,3-5_subtract,43,51.6,59.3,59.3,58.1,,26,21.5,24.4
JALGAON,Nashik,3-5_subtract,72.5,61.2,49.8,53.8,47.3,27.6,30.4,26.6,25.3
JALNA,Aurangabad,3-5_subtract,77.8,76.2,95.3,55.7,64.8,49.4,23.3,14.6,14
KOLHAPUR,Pune,3-5_subtract,69,72,62.3,70.3,63.6,72.1,,60.2,53
LATUR,Aurangabad,3-5_subtract,72.3,73.9,65.5,73.7,62,50.3,37.3,32.4,35.5
MUMBAI,Konkan,3-5_subtract,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,3-5_subtract,,,,,,,,,
NAGPUR,Nagpur,3-5_subtract,63,67,58.9,91.7,70.7,45.5,45.2,28.6,39.9
NANDED,Aurangabad,3-5_subtract,82.4,59.1,54.9,40.8,59.7,32.6,25.5,20.2,23.4
NANDURBAR,Nashik,3-5_subtract,36.8,44.6,50.9,88.6,94.4,72.4,13.3,12,10.9
NASHIK,Nashik,3-5_subtract,59,46.5,55.2,56.6,84.8,59.2,35.9,32.6,33.5
